Title,Operating Temperature (⊥),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,C wt. %,Pure_0/Supported_1,I/C in Anode,Pt wt. %,I/C in Cathode,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Cathode Precious Metal Loading (mg cm-2 Pt/Pd),CCM_0/GDE_1,Membrane Thickness (米m),EW,Current at 1.5 V,Current at 1.6 V,Current at 1.7 V,Current at 1.8 V,Current at 1.9 V,Current at 2.0 V,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1),CL_2V_2A
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,0.25,30,0.5,1.367183177,0.5,0,125,1100,0.442,1.002,1.638,2.478,3.22,3.962,0,0,0,0,1
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",90,1,4,5,74.37742114,16.76812396,8.854454898,0,0,0.25,30,0.5,1.367183177,0.5,0,125,1100,0.603,1.181,1.84,2.653,3.466,4.279,0,0,0,0,1
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",30,1,4,5,85.52915767,0,14.47084233,0,0,0.25,30,0.5,1.282937365,0.5,0,125,1100,0.032,0.179,0.501,0.897,1.316,1.735,0,0,0,0,0
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",40,1,4,5,85.52915767,0,14.47084233,0,0,0.25,30,0.5,1.282937365,0.5,0,125,1100,0.032,0.258,0.651,1.1,1.626,2.152,0,0,0,0,1
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",50,1,4,5,85.52915767,0,14.47084233,0,0,0.25,30,0.5,1.282937365,0.5,0,125,1100,0.063,0.342,0.789,1.31,1.905,2.5,0,0,0,0,1
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",60,1,4,5,85.52915767,0,14.47084233,0,0,0.25,30,0.5,1.282937365,0.5,0,125,1100,0.077,0.437,0.978,1.566,2.198,2.83,0,0,0,0,1
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",70,1,4,5,85.52915767,0,14.47084233,0,0,0.25,30,0.5,1.282937365,0.5,0,125,1100,0.101,0.519,1.098,1.796,2.561,3.326,0,0,0,0,1
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",80,1,4,5,85.52915767,0,14.47084233,0,0,0.25,30,0.5,1.282937365,0.5,0,125,1100,0.167,0.7,1.294,1.991,2.8,3.609,0,0,0,0,1
"Nanosized IrOx and IrRuOx electrocatalysts for the O2evolution
reaction
 in PEM water electrolysers",90,1,4,5,85.52915767,0,14.47084233,0,0,0.25,30,0.5,1.282937365,0.5,0,125,1100,0.299,0.811,1.395,2.047,2.281,2.515,0,0,0,0,1
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis",80,1,2,5,85.52915767,0,14.47084233,0,0,0.5,50,0.5,2,0.3,0,120,870,0.4,0.92,1.647,2.413,3.234,4.055,0,0,0,0,1
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis",80,1,2,5,85.52915767,0,14.47084233,0,0,0.5,50,0.5,2,0.3,0,125,1100,0.313,0.727,1.149,1.543,1.937,2.331,0,0,0,0,1
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis",40,1,2,5,85.52915767,0,14.47084233,0,0,0.5,50,0.5,2,0.3,0,120,870,0.094,0.398,0.897,1.454,2.08,2.66,0,0,0,0,1
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis",50,1,2,5,85.52915767,0,14.47084233,0,0,0.5,50,0.5,2,0.3,0,120,870,0.148,0.487,1.007,1.695,2.295,3.041,0,0,0,0,1
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis",60,1,2,5,85.52915767,0,14.47084233,0,0,0.5,50,0.5,2,0.3,0,120,870,0.233,0.67,1.28,1.983,2.764,3.545,0,0,0,0,1
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis",70,1,2,5,85.52915767,0,14.47084233,0,0,0.5,50,0.5,2,0.3,0,120,870,0.303,0.782,1.397,2.194,2.989,3.784,0,0,0,0,1
"Performance analysis of short-side-chain Aquivionsperfluorosulfonic
acid polymer for proton exchange membrane water electrolysis",90,1,2,5,85.52915767,0,14.47084233,0,0,0.5,50,0.5,2,0.3,0,120,870,0.446,1.096,1.942,2.776,3.61,4.444,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",27.5,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.016,0.034,0.304,0.706,1.133,1.596,0,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",40,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.02,0.082,0.395,0.894,1.428,2.024,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",60,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.024,0.27,0.849,1.474,2.099,2.724,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",80,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.11,0.676,1.498,2.32,3.142,3.964,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",90,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.198,0.972,1.776,2.58,3.384,4.188,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",100,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.197,0.889,1.906,2.923,3.94,4.957,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",110,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.297,1.097,1.995,2.893,3.791,4.689,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",120,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.47,1.292,2.114,2.936,3.758,4.58,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",27.5,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.011,0.041,0.25,0.52,0.821,1.141,0,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",40,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.014,0.075,0.31,0.635,0.996,1.385,0,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",60,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.017,0.2,0.529,0.925,1.377,1.809,0,0,0,0,0
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",80,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,1.03,0.414,0.87,1.276,1.801,2.326,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",90,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.127,0.529,1.02,1.481,2.004,2.527,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",100,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.127,0.529,1.02,1.481,2.05,2.619,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",110,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.204,0.625,1.177,1.65,2.123,2.596,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",120,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,120,870,0.303,0.726,1.245,1.841,2.437,3.033,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",80,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,70,206.185567,0.03,0.368,0.97,1.66,2.35,3.04,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",100,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,70,206.185567,0.06,0.399,1.021,1.824,2.627,3.43,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",110,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,70,206.185567,0.114,0.572,1.257,2.062,2.867,3.672,0,0,0,0,1
"Proton exchange membrane water electrolysis
with short-side-chain Aquivion?membrane
and IrO2anode catalyst",120,3,3.33,6.25,85.52915767,0,14.47084233,0,0,0.5,40,0.5,1.710583153,2,0,70,206.185567,0.213,0.724,1.556,2.388,3.22,4.052,0,0,0,0,1
"Solution combustion synthesis of highly dispersible
and dispersed iridium oxide as an anode catalyst in
PEM water electrolysis",80,1,0.5,4,85.52915767,0,14.47084233,0,1,0.3,40,0.3,1.710583153,0.24,0,125,1100,0.256,0.588,1.154,1.739,2.324,2.909,0,0,0,0,1
"Solution combustion synthesis of highly dispersible
and dispersed iridium oxide as an anode catalyst in
PEM water electrolysis",80,1,0.5,4,74.37742114,16.76812396,8.854454898,0,0,0.3,40,0.3,2.734366353,1.2,0,125,1100,0.226,0.668,1.221,1.816,2.411,3.006,0,0,0,0,1
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,0.25,30,0.5,1.367183177,0.5,0,105,1031,0.407,0.892,1.487,2.089,2.595,3.029,0,0,0,0,1
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",80,1,4,5,74.37742114,16.76812396,8.854454898,0,0,0.25,30,0.5,1.367183177,0.5,0,105,1219.5,0.295,0.8,1.415,2.089,2.791,3.431,0,0,0,0,1
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",100,1,4,5,74.37742114,16.76812396,8.854454898,0,0,0.25,30,0.5,1.367183177,0.5,0,105,1031,0.714,1.208,1.674,2.181,2.594,3.014,0,0,0,0,1
"Sulfated titania as additive in Nafion membranes
for water electrolysis applications",100,1,4,5,74.37742114,16.76812396,8.854454898,0,0,0.25,30,0.5,1.367183177,0.5,0,105,1219.5,0.714,1.174,1.786,2.455,3.268,4.013,0,0,0,0,1
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",80,1,20,5,74.37742114,16.76812396,8.854454898,0,0,0.16033089,100,0.129656041,2.734366353,3,0,125,1100,0.565,1.312,2.059,2.806,3.553,4.3,0,0,0,0,1
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",80,1,20,5,74.37742114,16.76812396,8.854454898,0,0,0.161499397,100,0.12074659,2.734366353,3,0,125,1100,0.565,1.488,2.411,3.334,4.257,5.18,0,0,0,0,1
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",80,1,20,5,74.37742114,16.76812396,8.854454898,0,0,0.171025803,100,0.14081996,2.734366353,3,0,125,1100,0.714,1.712,2.71,3.708,4.706,5.704,0,0,0,0,1
"Thin film surface modifications of thin/tunable liquid/gas diffusion layers
for high-efficiency proton exchange membrane electrolyzer cells",80,1,20,5,74.37742114,16.76812396,8.854454898,0,0,0.169105913,100,0.133238398,2.734366353,3,0,125,1100,0.756,1.634,2.512,3.39,4.268,5.146,0,0,0,0,1
Analysis of performance degradation during steady-state and load-thermal cycles of proton exchange membrane water electrolysis cells,80,1,1,5,74.37742114,16.76812396,8.854454898,0,0,0.2,40,0.39,0.34,0.1,0,90,980,0.40496,1.02934,1.92672,2.83694,3.67908,4.50965,0,0,0,0,1
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,80,1,5,5,75,0,17.5,0,1,0.13,45.8,0.25,1.62,0.3,0,50,1100,0.31458,1.42213,2.59793,4.02916,5.34559,6.95986,0,0,0,0,1
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,80,1,5,5,75,0,17.5,0,1,0.13,4.8,0.25,1.58,0.025,0,50,1100,0.31458,1.40455,2.46142,3.78614,5.07672,6.28665,0,0,0,0,1
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,80,1,5,5,75,0,17.5,0,1,0.13,4.8,0.25,0.2,0.025,0,50,1100,0.01631,0.28745,0.84102,1.55687,2.45758,3.48153,0,0,0,0,1
Analysis of Voltage Losses in PEM Water Electrolyzers with Low Platinum Group Metal Loadings,80,1,5,5,75,0,17.5,0,1,0.13,4.8,0.25,3.97,0.025,0,50,1100,0.38706,1.33749,2.48839,3.50633,4.6323,5.4609,0,0,0,0,1
Anodic microporous layer for polymer electrolyte membrane water electrolysers,80,3,41.16415899,14.76826673,85.52915767,0,14.47084233,0,0,0.18,40,0.435176247,0.940820734,0.5,1,175,1100,0.03083,0.09754,0.16425,0.23096,0.29767,0.36438,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,25,1,22.36134449,5,76.72992366,2.378541997,15.30031216,0,1,1.425,46.1,0.37,1.977711641,0.4,0,125,1100,0.0033,0.01482,0.08815,0.1593,0.24452,0.33727,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,25,1,20.66890642,5,79.37854279,2.460646234,15.82845943,0,1,1.425,46.1,0.37,2.045979726,0.4,0,125,1100,0.0037,0.03325,0.09687,0.17991,0.26711,0.37294,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,25,1,25.24166274,5,80.2284846,4.689280639,15.08223476,0,0,1.425,46.1,0.37,2.122944131,0.4,0,125,1100,0.02017,0.11292,0.24353,0.37076,0.50216,0.63375,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,5,51.01669281,25,80.2284846,4.689280639,15.08223476,0,0,1.425,46.1,0.37,1.273766479,0.4,0,125,1100,0.05484,0.22595,0.47586,0.75084,0.94583,1.09187,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,5,65.94589259,25,80.2284846,4.689280639,15.08223476,0,0,1.425,46.1,0.37,1.486060892,0.4,0,175,1100,0.03534,0.14477,0.31688,0.49655,0.68816,0.82784,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,10,49.42071427,25,80.2284846,4.689280639,15.08223476,0,0,1.425,46.1,0.37,1.273766479,0.4,0,125,1100,0.04509,0.23133,0.51924,0.8159,1.10262,1.38934,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,10,68.38514115,25,80.2284846,4.689280639,15.08223476,0,0,1.425,46.1,0.37,1.273766479,0.4,0,175,1100,0.0234,0.12846,0.32225,0.51386,0.72159,0.86783,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,10,55.44484811,25,79.37854279,2.460646234,15.82845943,0,1,1.425,46.1,0.37,1.227587835,0.4,0,175,1100,0.03737,0.22518,0.51362,0.80752,1.07373,1.33994,0,0,0,0,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,10,79.57353151,25,79.37854279,2.460646234,15.82845943,0,1,1.425,46.1,0.37,1.227587835,0.4,0,175,1100,0.0204,0.1497,0.41181,0.67802,0.94852,1.21902,1,1,12,250,0
Efficient multi-metallic anode catalysts in a PEM water electrolyzer,60,1,44.82585946,25,79.37854279,2.460646234,15.82845943,0,1,1.425,46.1,0.37,1.227587835,0.4,0,175,1100,0.0637,0.26023,0.53021,0.85188,1.16658,1.48334,0,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I每Pure IrO2-based anodes,80,1,3.333333333,25,85.52915767,0,14.47084233,0,0,0.11,46,0.35,0.085529158,0.25,0,125,1100,0.08567,0.27026,0.51747,0.78519,1.06613,1.31522,0,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I每Pure IrO3-based anodes,80,1,3.333333333,25,85.52915767,0,14.47084233,0,0,0.11,46,0.35,0.196717063,0.25,0,125,1100,0.11563,0.34583,0.6211,0.96438,1.30955,1.62639,0,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I每Pure IrO4-based anodes,80,1,3.333333333,25,85.52915767,0,14.47084233,0,0,0.11,46,0.35,0.273693305,0.25,0,125,1100,0.12696,0.39872,0.75118,1.13224,1.52086,1.91488,0,0,0,0,0
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I每Pure IrO5-based anodes,80,1,3.333333333,25,85.52915767,0,14.47084233,0,0,0.11,46,0.35,0.342116631,0.25,0,125,1100,0.14963,0.47024,0.8513,1.26044,1.73191,2.12646,0,0,0,0,1
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I每Pure IrO6-based anodes,80,1,3.333333333,25,85.52915767,0,14.47084233,0,0,0.11,46,0.35,0.607257019,0.25,0,125,1100,0.21845,0.56443,0.96735,1.43666,1.86064,2.36018,0,0,0,0,1
Influence of iridium oxide loadings on the performance of PEM water electrolysis cells: Part I每Pure IrO7-based anodes,80,1,3.333333333,25,85.52915767,0,14.47084233,0,0,0.11,46,0.35,1.462548596,0.15,0,125,1100,0.22358,0.56443,0.96735,1.43666,1.89005,2.36018,0,0,0,0,1
Initial Performance and Durability of Ultra-Low Loaded NSTF Electrodes for PEM Electrolyzers,80,1,250,86,50,0,0,0,0,0,50,0,0.15,0.15,0,175,1100,0.04736,0.32901,0.72662,1.23626,1.68358,2.21294,0,0,0,0,1
Initial Performance and Durability of Ultra-Low Loaded NSTF Electrodes for PEM Electrolyzers,80,1,250,86,0,0,0,0,0,0,68,0,0.15,0.15,0,175,1100,0.04736,0.32901,0.70216,1.10767,1.58417,1.9526,0,0,0,0,0
Investigation of titanium liquid/gas diffusion layers in proton exchange membrane electrolyzer cells,20,1,40,5,74.37742114,16.76812396,8.854454898,0,0,0.53281198,100,1.035837366,2.734366353,3,0,125,1100,0.0064,0.01692,0.14707,0.29023,0.48174,0.64536,0,0,0,0,0
Investigation on the degradation of MEAs for PEM water electrolysers part I: Effects of testing conditions on MEA performances and membrane properties,60,1,33,25,85.52915767,0,14.47084233,0,0,0.352622458,100,0.304951422,1.702030238,1.31,0,175,1100,0.41673,0.80747,1.2363,1.50401,2.05186,2.37546,0,0,0,0,1
Investigation on the degradation of MEAs for PEM water electrolysers part I: Effects of testing conditions on MEA performances and membrane properties,80,1,33,25,85.52915767,0,14.47084233,0,0,0.346040407,100,0.270084939,1.702030238,1.19,0,175,1100,0.31197,0.62252,1.10766,1.60435,2.06842,2.36893,0,0,0,0,1
"Palladium supported on phosphorus每nitrogen dual-doped carbon
nanoparticles as cathode for hydrogen evolution in PEM
water electrolyser",30,1,60,25,0,75.66401816,24.33598184,0,0,1.14838301,0,0.853256179,2.269920545,0.7,1,125,1100,0.0345,0.10042,0.22061,0.38851,0.60775,0.89438,0,0,0,0,0
"Palladium supported on phosphorus每nitrogen dual-doped carbon
nanoparticles as cathode for hydrogen evolution in PEM
water electrolyser",40,1,60,25,0,75.66401816,24.33598184,0,0,1.176955273,0,0.869597036,2.269920545,0.7,1,125,1100,0.04798,0.13648,0.25958,0.45625,0.72466,1.00546,0,0,0,0,0
"Palladium supported on phosphorus每nitrogen dual-doped carbon
nanoparticles as cathode for hydrogen evolution in PEM
water electrolyser",50,1,60,25,0,75.66401816,24.33598184,0,0,1.108970229,0,0.947266894,2.269920545,0.7,1,125,1100,0.05854,0.15323,0.3153,0.50869,0.77711,1.09833,0,0,0,0,0
"Palladium supported on phosphorus每nitrogen dual-doped carbon
nanoparticles as cathode for hydrogen evolution in PEM
water electrolyser",60,1,60,25,0,75.66401816,24.33598184,0,0,1.369106679,0,1.238964173,2.269920545,0.7,1,125,1100,0.07675,0.17873,0.34954,0.56405,0.85832,1.16716,0,0,0,0,0
"Palladium supported on phosphorus每nitrogen dual-doped carbon
nanoparticles as cathode for hydrogen evolution in PEM
water electrolyser",70,1,60,25,0,75.66401816,24.33598184,0,0,1.394211044,0,1.371145954,2.269920545,0.7,1,125,1100,0.09023,0.1922,0.40526,0.63908,0.90312,1.25566,0,0,0,0,0
"Palladium supported on phosphorus每nitrogen dual-doped carbon
nanoparticles as cathode for hydrogen evolution in PEM
water electrolyser",80,1,60,25,0,75.66401816,24.33598184,0,0,1.370227109,0,1.32614018,2.269920545,0.7,1,125,1100,0.11572,0.24756,0.46681,0.72321,1.01711,1.33834,0,0,0,0,0
"Pathways to ultra-low platinum group metal catalyst loading in
proton exchange membrane electrolyzerswater electrolyser",50,1,300,25,85.52915767,0,14.47084233,0,0,0.15,100,0.15,2.56587473,0.2,1,175,1100,0.05565,0.34357,0.67562,0.9618,1.27279,1.55378,0,0,0,0,0
"Pathways to ultra-low platinum group metal catalyst loading in
proton exchange membrane electrolyzerswater electrolyser",50,1,300,25,85.52915767,0,14.47084233,0,0,0.15,100,0.15,0.085529158,0,1,175,1100,0.0015,0.16492,0.46303,0.78719,1.12566,1.4663,0,0,0,0,0
"Pathways to ultra-low platinum group metal catalyst loading in
proton exchange membrane electrolyzerswater electrolyser",50,1,300,25,85.52915767,0,14.47084233,0,0,0.15,100,0.15,2.56587473,0.2,0,175,1100,0.06431,0.34075,0.65941,1.00887,1.39484,1.79981,0,0,0,0,0
A highly efficient and durable carbon nanotube-based anode electrocatalyst for water electrolyzers,80,1,1,1,19.1,0,3.231565657,77.66843434,1,0.43,46,0.43,0.5,0.5,0,175,1100,0.32965,0.77717,1.26408,1.75099,2.2379,2.72481,0,0,0,0,1
Development of electrodeposited IrO2 electrodes as anodes in polymer electrolyte membrane water electrolysis,90,1,15,4,85.52915767,0,14.47084233,0,0,0.095239255,46,0.36631045,0.085529158,0.4,0,50,1100,0.47732,1.05467,1.53636,1.93308,2.2392,2.69556,0,0,0,0,1
Effects of membrane electrode assembly properties on two-phase transport and performance in proton exchange membrane electrolyzer cells,80,1,18.88169371,5,74.37742114,16.76812396,8.854454898,0,0,0.322609985,71.48829017,0.3132326,2.734366353,3,0,175,1100,0.28879,0.59789,0.98849,1.44729,1.96581,2.61749,0,0,0,0,1
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,80,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.16414,0.43179,0.77665,1.05992,1.20862,1.35732,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,90,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.17115,0.38293,0.67671,0.9724,1.07203,1.17166,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,100,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.26121,0.51931,0.79928,1.05907,1.20777,1.35647,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,110,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.36806,0.45197,0.50189,0.61384,0.69944,0.78504,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,120,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.2045,0.22978,0.27353,0.27523,0.29,0.30477,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,80,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,120,924.7552906,0.23185,0.58587,0.95546,1.29256,1.49901,1.70546,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,90,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,120,910.8087456,0.26536,0.66405,1.14499,1.5799,1.89365,2.2074,0,0,0,0,1
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,100,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,120,909.2903488,0.35742,0.74494,1.22284,1.64692,1.97725,2.30758,0,0,0,0,1
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,110,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,120,946.4664688,0.52597,0.79639,0.97475,1.0878,1.12672,1.16564,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,120,1,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,120,960.7222459,0.29176,0.38246,0.46166,0.48129,0.48704,0.49279,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,80,3,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.11629,0.32698,0.57312,0.86244,1.00018,1.13792,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,90,3,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.15834,0.3888,0.68085,0.9729,1.11336,1.25382,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,100,3,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.26425,0.52175,0.79972,1.0845,1.26041,1.43632,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,110,3,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.3372,0.55539,0.75381,0.94858,1.16313,1.37768,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,120,3,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,125,1100,0.20606,0.3,0.41766,0.5788,0.74631,0.91382,0,0,0,0,0
High temperature operation of a composite membrane-based solid polymer electrolyte water electrolyser,80,3,2,5,85.52915767,0,14.47084233,0,0,0.5,30,0.5,4.276457883,0.8,0,120,911.8337149,0.16494,0.52611,1.00691,1.39376,1.68927,1.98478,0,0,0,0,0
